"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"018003","JAN","9","TOTAL","99","2014",565,
"018003","JAN","9","TOTAL","99","2015",579,
"018003","JAN","9","TOTAL","99","2016",560,
"018003","JAN","9","TOTAL","99","2017",562,
"018003","JAN","9","TOTAL","99","2018",553,
"014002","JAN","9","TOTAL","99","2014",3147,
"014002","JAN","9","TOTAL","99","2015",3128,
"014002","JAN","9","TOTAL","99","2016",3094,
"014002","JAN","9","TOTAL","99","2017",3072,
"014002","JAN","9","TOTAL","99","2018",3020,
"018004","JAN","9","TOTAL","99","2014",3547,
"018004","JAN","9","TOTAL","99","2015",3529,
"018004","JAN","9","TOTAL","99","2016",3513,
"018004","JAN","9","TOTAL","99","2017",3518,
"018004","JAN","9","TOTAL","99","2018",3566,
"017004","JAN","9","TOTAL","99","2014",2492,
"017004","JAN","9","TOTAL","99","2015",2536,
"017004","JAN","9","TOTAL","99","2016",2513,
"017004","JAN","9","TOTAL","99","2017",2494,
"017004","JAN","9","TOTAL","99","2018",2448,
"016248","JAN","9","TOTAL","99","2014",701,
"016248","JAN","9","TOTAL","99","2015",686,
"016248","JAN","9","TOTAL","99","2016",676,
"016248","JAN","9","TOTAL","99","2017",674,
"016248","JAN","9","TOTAL","99","2018",673,
"016005","JAN","9","TOTAL","99","2014",5669,
"016005","JAN","9","TOTAL","99","2015",5677,
"016005","JAN","9","TOTAL","99","2016",5652,
"016005","JAN","9","TOTAL","99","2017",5619,
"016005","JAN","9","TOTAL","99","2018",5604,
"016006","JAN","9","TOTAL","99","2014",6125,
"016006","JAN","9","TOTAL","99","2015",6186,
"016006","JAN","9","TOTAL","99","2016",6209,
"016006","JAN","9","TOTAL","99","2017",6249,
"016006","JAN","9","TOTAL","99","2018",6247,
"016007","JAN","9","TOTAL","99","2014",5814,
"016007","JAN","9","TOTAL","99","2015",5778,
"016007","JAN","9","TOTAL","99","2016",5749,
"016007","JAN","9","TOTAL","99","2017",5710,
"016007","JAN","9","TOTAL","99","2018",5677,
"016008","JAN","9","TOTAL","99","2014",13678,
"016008","JAN","9","TOTAL","99","2015",13632,
"016008","JAN","9","TOTAL","99","2016",13636,
"016008","JAN","9","TOTAL","99","2017",13652,
"016008","JAN","9","TOTAL","99","2018",13637,
"013007","JAN","9","TOTAL","99","2014",5026,
"013007","JAN","9","TOTAL","99","2015",5046,
"013007","JAN","9","TOTAL","99","2016",5026,
"013007","JAN","9","TOTAL","99","2017",5019,
"013007","JAN","9","TOTAL","99","2018",4985,
"016009","JAN","9","TOTAL","99","2014",2372,
"016009","JAN","9","TOTAL","99","2015",2381,
"016009","JAN","9","TOTAL","99","2016",2398,
"016009","JAN","9","TOTAL","99","2017",2384,
"016009","JAN","9","TOTAL","99","2018",2348,
"014003","JAN","9","TOTAL","99","2014",560,
"014003","JAN","9","TOTAL","99","2015",560,
"014003","JAN","9","TOTAL","99","2016",548,
"014003","JAN","9","TOTAL","99","2017",550,
"014003","JAN","9","TOTAL","99","2018",580,
"017005","JAN","9","TOTAL","99","2014",482,
"017005","JAN","9","TOTAL","99","2015",472,
"017005","JAN","9","TOTAL","99","2016",486,
"017005","JAN","9","TOTAL","99","2017",494,
"017005","JAN","9","TOTAL","99","2018",491,
"012003","JAN","9","TOTAL","99","2014",5664,
"012003","JAN","9","TOTAL","99","2015",5653,
"012003","JAN","9","TOTAL","99","2016",5607,
"012003","JAN","9","TOTAL","99","2017",5583,
"012003","JAN","9","TOTAL","99","2018",5546,
"013010","JAN","9","TOTAL","99","2014",7779,
"013010","JAN","9","TOTAL","99","2015",7784,
"013010","JAN","9","TOTAL","99","2016",7719,
"013010","JAN","9","TOTAL","99","2017",7703,
"013010","JAN","9","TOTAL","99","2018",7750,
"014004","JAN","9","TOTAL","99","2014",1583,
"014004","JAN","9","TOTAL","99","2015",1579,
"014004","JAN","9","TOTAL","99","2016",1588,
"014004","JAN","9","TOTAL","99","2017",1579,
"014004","JAN","9","TOTAL","99","2018",1580,
"016011","JAN","9","TOTAL","99","2014",4763,
"016011","JAN","9","TOTAL","99","2015",4787,
"016011","JAN","9","TOTAL","99","2016",4811,
"016011","JAN","9","TOTAL","99","2017",4837,
"016011","JAN","9","TOTAL","99","2018",4868,
"012004","JAN","9","TOTAL","99","2014",9886,
"012004","JAN","9","TOTAL","99","2015",9967,
"012004","JAN","9","TOTAL","99","2016",9975,
"012004","JAN","9","TOTAL","99","2017",9962,
"012004","JAN","9","TOTAL","99","2018",9978,
"015007","JAN","9","TOTAL","99","2014",6607,
"015007","JAN","9","TOTAL","99","2015",6634,
"015007","JAN","9","TOTAL","99","2016",6671,
"015007","JAN","9","TOTAL","99","2017",6700,
"015007","JAN","9","TOTAL","99","2018",6645,
"108004","JAN","9","TOTAL","99","2014",17800,
"108004","JAN","9","TOTAL","99","2015",17860,
"108004","JAN","9","TOTAL","99","2016",17874,
"108004","JAN","9","TOTAL","99","2017",17941,
"108004","JAN","9","TOTAL","99","2018",17916,
"014005","JAN","9","TOTAL","99","2014",3253,
"014005","JAN","9","TOTAL","99","2015",3262,
"014005","JAN","9","TOTAL","99","2016",3262,
"014005","JAN","9","TOTAL","99","2017",3255,
"014005","JAN","9","TOTAL","99","2018",3270,
"018005","JAN","9","TOTAL","99","2014",1632,
"018005","JAN","9","TOTAL","99","2015",1612,
"018005","JAN","9","TOTAL","99","2016",1574,
"018005","JAN","9","TOTAL","99","2017",1588,
"018005","JAN","9","TOTAL","99","2018",1588,
"013011","JAN","9","TOTAL","99","2014",668,
"013011","JAN","9","TOTAL","99","2015",688,
"013011","JAN","9","TOTAL","99","2016",681,
"013011","JAN","9","TOTAL","99","2017",666,
"013011","JAN","9","TOTAL","99","2018",665,
"016015","JAN","9","TOTAL","99","2014",530,
"016015","JAN","9","TOTAL","99","2015",537,
"016015","JAN","9","TOTAL","99","2016",543,
"016015","JAN","9","TOTAL","99","2017",557,
"016015","JAN","9","TOTAL","99","2018",568,
"019004","JAN","9","TOTAL","99","2014",704,
"019004","JAN","9","TOTAL","99","2015",675,
"019004","JAN","9","TOTAL","99","2016",656,
"019004","JAN","9","TOTAL","99","2017",635,
"019004","JAN","9","TOTAL","99","2018",636,
"017008","JAN","9","TOTAL","99","2014",3110,
"017008","JAN","9","TOTAL","99","2015",3141,
"017008","JAN","9","TOTAL","99","2016",3158,
"017008","JAN","9","TOTAL","99","2017",3189,
"017008","JAN","9","TOTAL","99","2018",3332,
"016016","JAN","9","TOTAL","99","2014",7690,
"016016","JAN","9","TOTAL","99","2015",7641,
"016016","JAN","9","TOTAL","99","2016",7602,
"016016","JAN","9","TOTAL","99","2017",7597,
"016016","JAN","9","TOTAL","99","2018",7617,
"012006","JAN","9","TOTAL","99","2014",4634,
"012006","JAN","9","TOTAL","99","2015",4656,
"012006","JAN","9","TOTAL","99","2016",4648,
"012006","JAN","9","TOTAL","99","2017",4686,
"012006","JAN","9","TOTAL","99","2018",4714,
"012007","JAN","9","TOTAL","99","2014",819,
"012007","JAN","9","TOTAL","99","2015",795,
"012007","JAN","9","TOTAL","99","2016",796,
"012007","JAN","9","TOTAL","99","2017",779,
"012007","JAN","9","TOTAL","99","2018",757,
"016017","JAN","9","TOTAL","99","2014",415,
"016017","JAN","9","TOTAL","99","2015",412,
"016017","JAN","9","TOTAL","99","2016",406,
"016017","JAN","9","TOTAL","99","2017",400,
"016017","JAN","9","TOTAL","99","2018",387,
"018006","JAN","9","TOTAL","99","2014",400,
"018006","JAN","9","TOTAL","99","2015",385,
"018006","JAN","9","TOTAL","99","2016",363,
"018006","JAN","9","TOTAL","99","2017",361,
"018006","JAN","9","TOTAL","99","2018",374,
"016018","JAN","9","TOTAL","99","2014",4271,
"016018","JAN","9","TOTAL","99","2015",4300,
"016018","JAN","9","TOTAL","99","2016",4292,
"016018","JAN","9","TOTAL","99","2017",4335,
"016018","JAN","9","TOTAL","99","2018",4317,
"017009","JAN","9","TOTAL","99","2014",12834,
"017009","JAN","9","TOTAL","99","2015",12829,
"017009","JAN","9","TOTAL","99","2016",12775,
"017009","JAN","9","TOTAL","99","2017",12677,
"017009","JAN","9","TOTAL","99","2018",12677,
"020003","JAN","9","TOTAL","99","2014",6028,
"020003","JAN","9","TOTAL","99","2015",6000,
"020003","JAN","9","TOTAL","99","2016",5971,
